No.,Video name,Uploader,Views (billions),Publication date
1.,"""Baby Shark Dance""",Pinkfong Baby Shark - Kids' Songs & Stories,13.29,"June 17, 2016"
2.,"""Despacito""",Luis Fonsi,8.25,"January 12, 2017"
3.,"""Johny Johny Yes Papa""",LooLoo Kids - Nursery Rhymes and Children's Songs,6.78,"October 8, 2016"
4.,"""Bath Song""",Cocomelon - Nursery Rhymes,6.38,"May 2, 2018"
5.,"""Shape of You""",Ed Sheeran,6.07,"January 30, 2017"
6.,"""See You Again""",Wiz Khalifa,6.01,"April 6, 2015"
7.,"""Wheels on the Bus""",Cocomelon - Nursery Rhymes,5.53,"May 24, 2018"
8.,"""Phonics Song with Two Words""",ChuChu TV Nursery Rhymes & Kids Songs,5.47,"March 6, 2014"
9.,"""Uptown Funk""",Mark Ronson,5.02,"November 19, 2014"
10.,"""Learning Colors – Colorful Eggs on a Farm""",Miroshka TV,4.96,"February 27, 2018"
11.,"""Gangnam Style""",officialpsy,4.88,"July 15, 2012"
12.,"""Masha and the Bear – Recipe for Disaster""",Get Movies,4.56,"January 31, 2012"
13.,"""Dame Tu Cosita""",Ultra Records,4.43,"April 5, 2018"
14.,"""Axel F""",Crazy Frog,4.04,"June 16, 2009"
15.,"""Sugar""",Maroon 5,3.93,"January 14, 2015"
16.,"""Counting Stars""",OneRepublic,3.86,"May 31, 2013"
17.,"""Roar""",Katy Perry,3.86,"September 5, 2013"
18.,"""Baa Baa Black Sheep""",Cocomelon - Nursery Rhymes,3.76,"June 25, 2018"
19.,"""Waka Waka (This Time for Africa)""",Shakira,3.71,"June 4, 2010"
20.,"""Sorry""",Justin Bieber,3.70,"October 22, 2015"
21.,"""Lakdi Ki Kathi""",Jingle Toons,3.67,"June 14, 2018"
22.,"""Thinking Out Loud""",Ed Sheeran,3.65,"October 7, 2014"
23.,"""Dark Horse""",Katy Perry,3.58,"February 20, 2014"
24.,"""Humpty the train on a fruits ride""",Kiddiestv Hindi - Nursery Rhymes & Kids Songs,3.54,"January 26, 2018"
25.,"""Perfect""",Ed Sheeran,3.53,"November 9, 2017"
26.,"""Faded""",Alan Walker,3.51,"December 3, 2015"
27.,"""Let Her Go""",Passenger,3.50,"July 25, 2012"
28.,"""Girls Like You""",Maroon 5,3.47,"May 31, 2018"
29.,"""Lean On""",Major Lazer Official,3.45,"March 22, 2015"
30.,"""Bailando""",Enrique Iglesias,3.45,"April 11, 2014"
